City Designated Individual Historic Sites,,,,,,,,,,,,,
_id,objectid,globalid,historic_i,lotblock,street,address,shape_leng_1,neighborhood,alternativ,name,provided_a,shape_area,shape_length
12851,15,01c48708-176a-44dd-ae3a-9c139bead14a,Mamaux Building,0001G00125000000,1st Ave,123 1st Ave,394.53982107,Central Business District, ,Mamaux Building,121-23 1St Ave,7097.36950683594,423.953732108885
12852,16,c9c53a93-e26a-49e4-a285-deb4d3b83214,Immanuel Church,0024J00229000001,Tripoli St,810 Tripoli St,285.4049623,Central Northside,1000 Madison Ave,Immanuel Church, ,4343.68182373047,285.405789360378
12853,17,0bab144a-2ff8-469a-90b7-66ba3009ba87,The Waldorf School of Pittsburgh (Victoria Hall )*,0050P00183000000,S Winebiddle St,201 S Winebiddle St,1310.76510555,Bloomfield, ,The Waldorf School of Pittsburgh (Victoria Hall ), ,82149.0434570312,1310.7653690371
12854,18,e4d0596d-1235-4038-9897-2ca61e9a9589,Beltzhoover Elementary School,0015M00131000000,Cedarhurst St,320 Cedarhurst St,1050.83420015,South Side Flats, ,Beltzhoover Elementary School, ,60507.8987426758,1050.83432519405
12855,19,3a1e0eb5-01d5-4fe0-bbbd-83c89ca2650c,New Granada Theater (Pythian Temple),0010N00261000000,Centre Ave,2007 Centre Ave,466.79000518,Middle Hill, ,New Granada Theater (Pythian Temple),2009-13 Centre Ave,10987.1757202148,466.790471937801
12856,20,9a94eefd-7ed9-4a15-b98b-8e05a041feea,Workingmen's Savings Bank,0024N00142000000,E Ohio St,800 E Ohio St,633.56901528,East Allegheny, ,Workingmen's Savings Bank, ,7951.52447509766,401.033067423866
12857,21,087f0768-d4dd-4322-8838-2cefc545b6c0,Allegheny County Morgue / Mortuary,0002J00044000000,4th Ave,542 4th Ave,507.25893322,Central Business District, ,Allegheny County Morgue / Mortuary, ,13898.9948120117,507.258864420438
12858,22,b0ce3ad7-537a-44e8-b9df-44485df164e9,4830 Hatfield St,0080F00160000000,Hatfield St,4836 Hatfield St,374.27770549,Central Lawrenceville, ,4830 Hatfield St,4830 hatfield St,8368.35992431641,366.964195738862
12859,23,8a559588-e36a-434b-89a8-e5665ff98e62,Card Estate Carraige House,0126H00102000000,Card Ln,7122-7128 Card Ln,350.2507625,Point Breeze, ,Card Estate Carraige House, ,7506.03442382812,350.250552439147
12860,24,8d43d65a-119a-4e21-95f6-d4a6afc64d70,Pittsburgh Wash House,0048S00235000000,Butler St,3495 Butler St,246.47370492,Lower Lawrenceville, ,Pittsburgh Wash House, ,2535.35607910156,246.473501777709
12861,25,62c9eb97-e6c5-4255-8a73-cf3a3de21633,Lemington Elementary School,0173A00176000000,Lemington Ave,7061 Lemington Ave,1656.18769329,Lincoln-Lemington-Belmar, ,Lemington Elementary School,7060 Lemington Ave,118037.427307129,1656.18786066608
12862,26,b1f671f3-1bee-4c5e-9ee6-e1eb9c5d76a6,Naser's Tavern,0049F00010000000,Butler St,4045-4065 Butler St,500.0000861,Central Lawrenceville, ,Naser's Tavern,4025-4029 Butler St,14995.4330444336,499.999999130372
12863,27,c9d7eb78-c75a-4279-83e8-6180c0f8c2a8,Fifth Ave High School Building,0011J00002000000,5th Ave,1800 5th Ave,1007.28567736,Bluff, ,Fifth Ave High School Building, ,45592.4744873047,1007.28601882225
12864,28,52e19414-d98e-4890-81bb-36d330247f64,Old Heidelberg Apartments & Cottages,0175N00206000000,S Braddock Ave,401 S Braddock Ave,768.41755098,Point Breeze, ,Old Heidelberg Apartments & Cottages,401-425 Braddock Ave (South),31036.1364135742,768.41767241071
12865,29,6d846019-63ad-42be-8691-22ca5c83ac01,Wigman House,0060G00168000000,Brownsville Rd,1425 Brownsville Rd,314.60734595,Carrick, ,Wigman House, ,5404.14639282227,314.607551958499
12866,30,b71f7652-ac07-4c08-999d-b8c7499d8285,Friendship Elementary School (formerly Liberty Sc*,0051D00087000000,S Graham St,201 S Graham St,1370.3082325,Friendship, ,Friendship Elementary School (formerly Liberty Sc*,5501 Friendship Ave,116280.940429688,1370.3079957006
12867,31,dcd08eb1-f1eb-4e9f-9690-b7df67491ac5,Lincoln Elementary (Mary Lou Williams Marker),0125A00104000000,Lincoln Ave,328 Lincoln Ave,1168.66311412,Larimer, ,Lincoln Elementary (Mary Lou Williams Marker), ,68136.5216674805,1163.5239167188
12868,32,95986ea4-1a57-4384-8ba8-fa8bfdcf8c36,Carnegie Library,0023R00157000000,Allegheny Sq,6 Allegheny Sq,829.50373359,Allegheny Center, ,Carnegie Library, ,42959.3245239258,829.504169596504
12869,33,0e5f8785-3668-4929-9381-63fc0620d38e,Peterson House,0080P00160000000,46th St,172 46th St,231.80641961,Central Lawrenceville, ,Peterson House, ,1951.76831054688,231.806436048609
12870,34,8a2aa4f5-262e-4dbb-9f92-7b604914cf57,South Side Market House,0003H00202000000,Bingham St,1201 Bingham St,464.34048208,South Side Flats, ,South Side Market House,1121 Bedfordv Sq,11761.0436706543,464.340694193162
12871,35,5db64b40-6b4f-4c4c-83a5-9cad10232d40,Madison Elementary School (formerly Minersville P*,0026P00280000000,Milwaukee St,3401 Milwaukee St,929.63192983,Polish Hill, ,Madison Elementary School (formerly Minersville P*, ,35747.2873535156,929.632640756412
12872,36,7fc4d584-65cd-40d0-8516-508c6c766400,Allegheny County Courthouse & Jail,0002E00251000000,Grant AVe,436 Grant Ave,1086.58631439,Central Business District, ,Allegheny County Courthouse & Jail, ,72147.3206787109,1086.58637530688
12873,37,2814fff8-09ee-454e-9af3-189c0bdadc14,David P. Oliver High School,0045P00225000000,Brighton Rd,2323 Brighton Rd,3680.81468855,Brighton Heights, ,David P. Oliver High School, ,619569.697570801,3680.814555379
12874,38,c99e1013-1508-4f3c-84da-ffdddc78eeb3,Jones Hall,0008A00159000000,Rridge Ave,808 Ridge Ave,485.65197667,Allegheny West, ,Jones Hall,701 Brighton Rd,9535.99346923828,485.652625825115
12875,39,fbf314e9-1149-44b3-8117-eecf86d41dd7,National Negro Opera Company,0173N00087000000,Apple St,7101 Apple St,778.78640742,Homewood North, ,National Negro Opera Company, ,35625.8464355469,778.786104583242
12876,40,d5c6e258-47c0-4dca-adbb-68196cf0f86d,Emmanual Episcopal Church,0022S00131000002,W North Ave,957 W North Ave,352.77158031,Allegheny West, ,Emmanual Episcopal Church, ,7610.88781738281,352.771262174268
12877,41,cffbd129-0c25-4001-a8d7-a3d431c0eeb9,Mifflin Elementary School,0184J00032000000,Mifflin Rd,1290 Mifflin Rd,2650.85634753,Lincoln Place, ,Mifflin Elementary School, ,295224.908996582,2650.85609465462
12878,42,c12b5736-6b63-40c4-abb5-dc1f37ce1b3e,Paramount Pictures Film Exchange,0011J00328000000,Miltenberger St,544 Miltenberger St,328.30092188,Bluff, ,Paramount Pictures Film Exchange, ,5445.49072265625,328.300970251824
12879,43,47c078ae-7ed5-47ef-a74c-5102a3a57959,Allegheny Arsenal Area,0049K00062000000,Penn Ave,3901 Penn Ave,1970.16167571,Lower Lawrenceville, ,Allegheny Arsenal Area,3901-3959 Penn Ave,218940.625427246,1970.16158621061
12880,44,40a28298-0a3a-4638-ac95-f6b2081123ab,"Westinghouse High School (William ""Billy"" Strayho*",0125D00200000000,N Murtland St,1101 N Murtland St,2709.17476051,Homewood West, ,"Westinghouse High School (William ""Billy"" Strayho*", ,367518.26965332,2709.17851543531
12881,45,4eea951b-0120-4f42-9d9b-3c5a269cf102,Woolslair Elementary Gifted Center,0049R00023000000,Cabinet St,4067 Cabinet St,260.30030674,Bloomfield, ,Woolslair Elementary Gifted Center, ,2521.24267578125,260.301174290921
12882,46,90476e05-d203-411f-9149-388991fe9c29,St. Mary's Academy,0049C00114000000,46th St,340 46th St,776.53889698,Central Lawrenceville, ,St. Mary's Academy, ,29639.9839477539,776.538807030743
12883,47,371e2f93-87e1-4888-b7de-4404f7c23ae1,Engine Company No. 28,0052D00346000000,Filbert St,700 Filbert St,,Shadyside, ,Engine Company No. 28, ,10518.9368896484,411.287978297962
12884,48,637b9198-260a-4125-b142-400e07630550,Shrine of Saint Anthony Padua (Most Holy Name of *,0047S00271000000,Tinsbury St,1515 Tinsbury St,855.24952385,Troy Hill, ,Shrine of Saint Anthony Padua (Most Holy Name of *, ,41018.9417724609,855.248970932706
12885,49,d38bafae-ed65-4c20-9767-50728e3fbe61,Stevens Elementary School (formerly Thaddeus Stev*,0019C00166000000,Crucible St,822 Crucible St,1043.53737754,Elliott, ,Stevens Elementary School (formerly Thaddeus Stev*,824 Crucible St,63281.5701293945,1043.53758570557
12886,50,92351444-623d-4887-986f-4d8efa642c24,Malta Temple,0023K00411000000,W North Ave,102 W North Ave,442.45058555,Allegheny Center, ,Malta Temple,100 W North Ave,7885.14056396484,442.451004462231
12887,51,f63cb216-4415-4ae4-8e1f-22c03b1cf8d5,Soldier's and Sailor's Memorial Hall,0027R00078000200,5th Ave,4101 5th Ave,1172.15546773,North Oakland, ,Soldier's and Sailor's Memorial Hall,4141 5th Ave,158157.566955566,1680.52112711858
12888,52,18dc8b28-01b0-48d2-bbc1-0ce457b2babc,Garden Theatre,0023L00083000000,W North Ave,22-32 W North Ave,493.99936524,Allegheny Center, ,Garden Theatre,12 W North Ave,11843.6030273438,493.999417630834
12889,54,8ba31ec6-aa3b-4964-935e-8ab7b6f272b1,Carrick Municipal Hall,0060L00241000000,Brownsville Rd,1806 Brownsville Rd,282.47618127,Carrick, ,Carrick Municipal Hall, ,3158.61334228516,282.475603525537
12890,55,f313e4ec-9b89-4b01-a5e0-04be3904eed5,Buhl Planetarium & Institute of Popular Science (*,0023R00104000000,Allegheny Sq,1 Allegheny Ave,810.21055633,North Shore, ,Buhl Planetarium & Institute of Popular Science, ,37471.6655883789,810.209802405506
12891,56,d972f869-d7fc-4e39-8d5a-2f7ddbd77f99,Woolslair Elementary School,0049R00236000000,40th St,501 40th St,732.5507761,Bloomfield, ,Woolslair Elementary School, ,32397.3763427734,732.551106483708
12892,57,7ca996fd-1f07-48e8-9b11-4b42b910b613,Sterrett Classical Academy (formerly Sterrett Sch*,0126L00170000000,Reynolds St,7100 Reynolds St,1325.8825857,Point Breeze, ,Sterrett Classical Academy (formerly Sterrett Classical Academy), ,105148.469726562,1325.88162257632
12893,58,1b5f38a0-b29f-4f0b-ba6a-e03b190e4914,Monongahela Incline,0006H00031000000,Grandview Ave,1225 Grandview Ave,776.2736435,Mount Washington, ,Monongahela Incline, ,23815.9946594238,776.274175467035
12894,59,e71760ab-9131-4b74-9e1d-52714b0a6c12,"Carnegie Library of Pittsburgh, Lawrenceville Bra*",0049F00160000002,Fisk St,279 Fisk St,408.33362723,Central Lawrenceville, ,"Carnegie Library of Pittsburgh, Lawrenceville Branch", ,10029.5684814453,408.33275486846
12895,60,4a80f2ca-bb85-424d-b7b3-b3a933ecb977,Sheridan Homestead,0042S00014000000,Bergman St,2803 Bergman St,301.78589539,Sheraden, ,Sheridan Homestead, ,5121.95288085938,301.786004518681
12896,61,fc7ed799-fc23-4e23-8b9e-648495cc7769,Station Square,0001R00110000000,W Station Square Dr,100 W Station Square Dr,740.9566379,South Shore, ,Station Square, ,34744.3110046387,740.95632530941
12897,62,ccab8d36-d7aa-452a-adff-bb8f3544c532,Centre Avenue YMCA (Frank Bolden Marker) (Robert *,0010M00154000000,Centre Ave,2621 Centre Ave,562.36816379,Middle Hill, ,Centre Avenue YMCA (Frank Bolden Marker), ,19413.7416381836,562.368009993588
12898,63,a003cb71-a4b5-4f4f-a441-444c7464a359,Concord Elementary School,0095M00340000000,Brownsville Rd,2350 Brownsville Rd,1346.18219955,Carrick, ,Concord Elementary School,2340 Brownsville Rd,121002.263458252,1346.18283785619
12899,64,2c47b76e-2ea1-4f35-a64d-fd19596e6195,John Woods House,0055P00037000000,Monongahela St,4604 Monongahela St,325.05959565,Hazelwood, ,John Woods House, ,5863.95669555664,325.06013817502
12900,65,1e72afdb-20e4-4c43-a4f9-e6f999bafa17,Baywood  (The King Estate),0082F00300000000,Elgin St,5501 Elgin St,1248.28962636,Highland Park, ,Baywood  (The King Estate), ,79371.9035644531,1248.27117191331
12901,66,b73f7147-ecda-4cc4-88ea-f4cfe7a9d17d,Synder House,0008A00184000000,Ridge Ave,850 Ridge Ave,448.49366926,Allegheny West, ,Synder House,850-854 Ridge Ave,12236.8665161133,448.494776108564
12902,67,a7464242-f14b-4345-9965-edbd0a8a4d92,Monongahela Incline/Upper Street Station,0004C00063000000, , ,803.7487301,Mount Washington, ,Monongahela Incline/Upper Street Station, ,63735.9017333984,1724.13202739583
12903,68,d9871794-2b5a-4474-b31b-93275c56d269,Aberlie House,0023L00258000000,E North Ave,122 E North Ave,343.49722545,Allegheny Center, ,Aberlie House, ,6760.09582519531,343.49750772492
12904,69,d6f56550-e8a5-42a6-bced-87454cf2a480,"Carnegie Library or Pittsburgh, Mount Washington *",0001P00044000000,Grandview Ave,315 Grandview Ave,513.06172535,South Shore, ,"Carnegie Library or Pittsburgh, Mount Washington Branch)", ,14922.6536560059,508.866708830263
12905,70,e901995f-75fe-4ef1-bb04-a2a8cf8d9be2,Walton House,0080P00068000000,Plummer St,4412 Plummer St,113.2236873,Central Lawrenceville, ,Walton House,4412-4414 Plummer St,772.332153320312,113.224151599921
12906,71,24835acc-4f4e-44bf-9f9b-413b005fd0f9,Allegheny County Jail (next to courthouse),0002F00259000000,Ross St,440 Ross St,1027.83758254,Central Business District, ,Allegheny County Jail (next to courthouse),450 Ross St,69809.3876342773,1027.83767828519
12907,72,8a7dcee6-8ba6-4303-9b81-8205e4797a20,Mellon National Bank Building,0002E00030000000,Smithfield St,500 Smithfield St,721.17055877,Central Business District, ,Mellon National Bank Building, ,29230.8944702148,721.170681850142
12908,73,99f8d1e0-0c10-4f49-90e4-f2f69d9bcd40,"Carnegie Library of Pittsburgh, West End Branch",0019H00284000000,Wabash St,47 Wabash St,1959.99881831,Central Business District, ,"Carnegie Library of Pittsburgh, West End Branch", ,127605.120941162,1959.99959063961
12909,74,e015ebff-10c0-44cf-b6ad-ad01053249d0,Allegheny Middle School (formerly Allegheny High *,0023P00078000000,Arch St,810 Arch St,1001.48539306,North Shore, ,Allegheny Middle School (formerly Allegheny High School), ,46411.1137084961,1001.48482921289
12910,75,df61d0f1-1f51-43d2-b6cc-cf0377e6bd76,1530 Federal St,0023G00307000000,Federal St,1528 Federal St,200.06710333,Fineview, ,1530 Federal St,1530 Federal St,2075.91271972656,207.717563926252
12911,76,96f645d9-b67c-4773-bcac-475c986c7fc2,Dowers' Tavern (formerly Becks Run School),0031G00045000000,Becks Run Rd,1000 Becks Run Rd,377.73746292,Arlington Heights, ,Dowers' Tavern (formerly Becks Run School), ,8880.66616821289,377.737982631424
12912,77,95d8a4cb-0010-48cf-b75d-b02a6ca155f0,"Carnegie Library of Pittsburgh, Homewood Branch",0174J00030000000,Hamilton Ave,7101 Hamilton Ave,552.05973639,Homewood South, ,"Carnegie Library of Pittsburgh, Homewood Branch", ,19023.5434570312,552.059495981434
12913,78,5d5f6d3d-a660-4ca3-9922-e901a2bcc07b,"Carnegie Library of Pittsburgh, Hazelwood Branch",0056B00240000000,Monongahela St,4748 Monongahela St,671.98350432,Hazelwood, ,"Carnegie Library of Pittsburgh, Hazelwood Branch", ,24145.3655395508,667.25222806824
12914,79,9cd98e38-d4c7-4c12-9010-f45050802a41,Children's Museum of Pittsburgh (formerly Old All*,0008C00135000000,Childrens Way,10 Childrens Way,978.42590247,Allegheny Center, ,Children's Museum of Pittsburgh (formerly Old Allegheny Post Office), ,47841.6571655273,978.42604056621
12915,80,e28f0cde-254b-48a2-9095-8955ea4ae69c,Langley High School,0042R00045000000,Sheraden Blvd,2940 Sheraden Blvd,2612.39901464,Sheradan, ,Langley High School,2940 Sheridan Ave,264758.644470215,2612.29903757038
12916,81,f3957672-d3ea-4241-8b1f-09318c96755e,Sunnyledge (formerly McClelland House),0052L00035000000,5th Ave,5124-5126 5th Ave,542.18812244,Shadyside, ,Sunnyledge (formerly McClelland House),5136 5th Ave,19039.01171875,542.188115142146
12917,82,9e78c471-4b15-4062-aa59-a5680370b7d6,Engine Company No. 3,0023F00406000000,Arch St,1416 Arch St,200.92604267,Central Northside, ,Engine Company No. 3, ,2083.35833740234,200.925784855285
12918,83,1d107f00-9fda-4073-b6f3-fadedf4b1ae1,Sellers-Carnahan House,0084L00215000000,Shady Ave,400 Shady Ave,722.81374573,Shadyside, ,Sellers-Carnahan House, ,32102.6365966797,722.813189817319
12919,84,46514af2-fe58-45df-bd7b-09dfcf0a605e,Dilworth Elementary School,0083H00189000000,Stanton Ave,6200 Stanton Ave,1117.50498619,East Liberty, ,Dilworth Elementary School, ,68856.2294921875,1117.50545055362
12920,85,65934a4b-6c5f-4b3f-83eb-27c4fb6c8492,Croation Fraternal Union,0028F00172000000,Forbes Ave,3441 Forbes Ave,409.66927016,West Oakland, ,Croation Fraternal Union, ,9915.0439453125,409.670181913749
12921,86,ad7eda2b-d5db-45a9-8f3d-4aa71a9929b8,Ferris House (formerly George Washington Gale Fer*,0023K00341000000,Arch St,1318 Arch St,187.27375562,Central Northside, ,Ferris House (formerly George Washington Gale Ferris House), ,1290.91729736328,187.273081872526
12922,87,e1a57e9b-ac9a-44b3-98db-66fb9cd13766,Cathedral of Learning,0027S00125000000,5th Ave,4200 5th Ave,3043.75683046,Central Oakland, ,Cathedral of Learning,Biglo Blvd - 4228 5th Ave,556003.503173828,3043.75751508998
12923,88,d0ac1fdc-0260-4447-82f2-ce185af398c0,Schiller Classical Academy (formerly Schiller Sch*,0024K00216000000,Peralta St,1018 Peralta St,919.62845143,East Allegheny, ,Schiller Classical Academy (formerly Schiller Sch*, ,43839.6987915039,919.628345465545
12924,89,ca2fae57-4191-4dee-8ede-4f8831457477,Old Stone Tavern,0019S00156000000,Greentree Rd,434 Greentree Rd,345.29947586,West End, ,Old Stone Tavern, ,7670.28979492188,352.817617529937
12925,90,4776c3ee-13e4-461c-a26e-9eb16e59e055,Accamando Center,0095N00390000000,Saw Mill Run Blvd,2410 Saw Mill Run Blvd,604.58890948,Overbrook, ,Accamando Center, ,21333.6810913086,604.589037813171
12926,91,b852a115-3de7-40e1-b378-5c2ae745ff03,Stephen Foster Community Center,0049F00165000000,Main St,286 Main St,997.61506027,Lawrenceville, ,Stephen Foster Community Center, ,51599.7623901367,997.614763745798
12927,92,35d09419-5248-45a3-b3a3-443bfd25e788,South Side Presbyterian Church,0012K00129000002,Sarah St,1926 Sarah St,473.50906807,South Side Flats, ,South Side Presbyterian Church, ,11360.5002746582,473.509005697631
12928,93,1b7a45c2-7464-4b21-9b1d-c8ce78f134ca,Engine Company No. 1 and No. 30,0001M00115000000,Blvd Of The Allies, ,376.57217586,Central Oakland, ,Engine Company No. 1 and No. 30, ,4866.84967041016,376.572217812243
12929,94,df416b94-56e2-486c-af66-3deb7c441cd1,John Wesley African Methodist Episcopal Zion Chur*,0027A00158000000,Herron Ave,594 Herron Ave,770.04266473,Upper Hill, ,John Wesley African Methodist Episcopal Zion Church, ,23169.1872558594,770.042741702851
12930,95,f17baa52-d852-427d-af71-8ce43c7a8821,Baywood  (The King Estate),0082G00050000000,N Negley Ave,N Negley Ave,3236.8575507,East Liberty, ,Baywood  (The King Estate),1251 N Negley Ave,254596.151733398,3236.83917911837
12931,96,b4f7926c-df8c-4937-98b3-866625e27045,Guckenheimer & Bros. Building (Guckenheimer Wareh*,0001G00201000000,1st Ave,125 1st Ave,221.50731781,Central Business District, ,Guckenheimer & Bros. Building (Guckenheimer Warehouse, ,2717.18640136719,229.559080777988
12932,98,ec1ba4ae-4a54-46ff-baa0-81fa75db3853,Shrine of St. Anthony of Padua (Saint Anthony's C*,0047M00285000001,Harpster St,1700 Harpster St,949.43845338,Troy Hill, ,Shrine of St. Anthony of Padua (Saint Anthony's C*, ,36909.4415283203,949.43849143016
12933,99,548edbb2-9c30-4b3d-a88e-127b0119ad42,Hefty House,0024N00118000000,E Ohio St,624 E Ohio St,187.65184211,East Allegheny, ,Hefty House,624-624 e Ohio St,1493.92767333984,187.65217473283
12934,100,41fa84ff-6a05-423b-b5a9-74c4c729d181,Private Home,0124N00095000000,Mayflower St,141 Mayflower St,356.67118492,Larimer, ,Private Home, ,6779.98352050781,356.671720874095
12935,101,47b0204a-3409-4a9e-bd48-1a0e13451c45,Connolley School,0009R00194000000,Bedford Ave,1435 Bedford Ave,,Middle Hill,,Connolley School,,154417.877502441,1703.85151698691
12936,102,137231ec-f249-413b-ad62-2c04ee6a7ee1,Allegheny City Stables,0022S00172000000,W North Ave,840 W North Ave,,Allegheny West, ,Allegheny City Stables,836 W North Ave,6068.37969970703,321.922820177713
12937,103,6e5b5fc8-5be5-4ff4-aa1f-f352ebb34bde,Saint Nicholas Croatian Catholic Church,0024H00890000001,Maryland Ave,24 Maryland Ave,,Shadyside, ,Saint Nicholas Croatian Catholic Church, ,12575.8242797852,502.941004818848
12938,104,2ea97b7a-798e-47ca-89c4-43743c11ffc3,Westinghouse Memorial - Schenley Park,0027S00150000001,W Circuit Rd,W Circuit Rd,,Brighton Heights, ,Westinghouse Memorial, ,11549.1173706055,416.13198980521
12939,105,b5ead8d4-9e5e-4f74-bf92-9bd9eec5a86b,Wooden Street Pavement,NONE, , ,,Shadyside, ,Wooden Street Pavement, ,8469.73028564453,593.18309066611
12940,106,5380a5e7-4395-4ef6-97b1-ef32854611b1,Smithfield Street Bridge,NONE,Smithfield Street Bridge,Smithfield Street Bridge,,South Shore, ,Smithfield Street Bridge, ,65989.8082275391,2171.15454504516
12941,107,18630d30-182c-4e10-a460-269e2ee78e39,Phipps Conservatory - Schenley Park,0027S00150000001,Schenley Park,Schenley Park,,South Oakland, ,Phipps Conservatory - Schenley Park, ,335956.052001953,2327.95876556887
12942,108,2c0a2600-801b-418a-8163-d5c282d76ebd,Tafu Bridge - Schenley Park,0027S00150000001,Schenley Park,Schenley Park,,South Oakland, ,Tafu Bridge - Schenley Park, ,6836.68963623047,646.032834840634
12943,109,b350fd5a-c7f0-4325-9a0d-ea075c542f71,Neill Log House (East Curcuit Road),0027S00150000001,Schenley Park,Schenley Park,,South Oakland, ,Neill Log House (East Curcuit Road), ,1362.65399169922,147.844699077268
12944,110,53f081f6-e75c-44b1-8e5f-ae644245dbf3,Iron City Brewery,0026A00300000000,Liberty Ave,3340 Liberty Ave,,Lower Lawrenceville,,Iron City Brewery,,191550.972900391,3185.23669717905
12945,111,ba2aade7-a74c-43f2-9423-103c9d8e4fd5,Iron City Brewery,0026A00137000000,Liberty Ave,3340 Liberty Ave,,Lower Lawrenceville,,Iron City Brewery,,3117.34588623047,301.326193575427
12946,112,c58cc013-bf71-4693-8b0c-81630cf5b163,Iron City Brewery,0026A00140000000,Liberty Ave,3340 Liberty Ave,,Lower Lawrenceville,,Iron City Brewery,,55887.0992431641,1921.41189035023
12947,113,fa164de3-05d1-475c-b583-b87fa68d893d,Iron City Brewery,002D00296000000,Liberty Ave,3340 Liberty Ave,,Lower Lawrenceville,,Iron City Brewery,,3969.65063476562,256.514335576482
12948,114,66fb0f99-34b9-49b7-bf30-0be5354db2f3,Temp - Fort Pitt Elementary School,0050F00296000000,Hillcrest St,5101 Hillcrest St,,Garfield,,Temp - Fort Pitt Elementary School,,105505.973327637,1426.99447826474
12949,115,7e5f0083-c8fc-4861-b96d-f5c05bce8a36,Temp - Baxter High School,0174L00269000000,Brushton Ave,925 Brushton Ave,,Homewood North,,Temp - Baxter High School,,39659.1629638672,837.679551645487
12950,116,27652ac3-f2dd-462c-83b2-e7b21d4dd4e6,Temp - Frick International Studies Academy,0027R00020000000,Thackeray Ave,107 Thackeray Ave,,Central Oakland,,Temp - Frick International Studies Academy,,127471.954223633,1426.02665495338
12951,117,d48fbd93-3a48-4205-9ebc-47cde2f6424f,Temp - Prospect Middle School for Multicultural E*,0004K00166000000,Cowan Ave,3 Cowan Ave,,Mount Washington,,Temp - Prospect Middle School for Multicultural Education,,160206.343383789,1753.08751257707
12952,118,98b00285-7b20-4227-bb58-bbbd33e9b045,Temp - Rogers School for Creative and Performance*,0083E00116000000,Columbo St,5525 Columbo St,,Garfield,,Temp - Rogers School for Creative and Performance Art,,113893.598937988,1807.98047047288
12953,119,ab294929-0630-4c01-a223-52ab31c52c79,Temp - Morrow Elementary School,0075C00089000000,Davis Ave,1611 Davis Ave,,Brighton Heights,,Temp - Morrow Elementary School,,44857.5725097656,864.163350215706
12954,120,71de1742-eb1e-45d2-8abb-028938e3379e,Temp - Connelly Skill Learning Center,0009R00194000000,Bedford Ave,1435 Bedford Ave,,Crawford-Roberts,,Temp - Connelly Skill Learning Center,,154417.877502441,1703.85151698691
